title,description,amount_usd,goal_usd,duration_days,cover_image,url,image_labels,binary
Urgent Support for Figgy's Life-Saving Surgery,"Update: Figgy is home! The next 24-48 hours will tell us how successful the surgery was. I will keep you all posted.

THANK YOU to everyone who has contributed, we are so grateful.

My name is Erin and I have been rescuing dogs since 2004. Sweet Figgy (also known as Glacier) is my 6th rescue, 2nd from Better Together Dog Rescue. We adopted Figgy in April.

Last night Figgy got very sick, and we rushed her to the ER this morning. After spending the day at the Emergency Veterinarian we discovered that Figgy has a linear foreign body and possibly other objects in her intestines that requires emergency surgery to remove.",2280.0,4300.0,45.0,https://images.gofundme.com/45Hin1eaYsnkaPkyMM6LkAZz3z8=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93763703_1755541885192986_r.png,https://www.gofundme.com/f/urgent-support-for-figgys-lifesaving-surgery?qid=3e05da99384bba523046eac5ff850c53,"Dog, Carnivores, Vertebrate, Working animal, Snout, Canidae, Puppy, Whiskers",1
Support Logan Johnson's Eagle Scout Project,"Hello, my name is Logan Johnson. I’m a seventeen-year-old senior from Bartlett, TN, and a member of Boy Scout Troop 261 from Bartlett Woods Church of Christ. I'm currently raising money for my Eagle project. The goal of my project is to replace the very old, broken-down birdhouses at the Bartlett Animal Shelter to give the purple martins in my community a place to live and thrive, keeping the sensitive species alive. Five 12-room houses will be built for the birds of the surrounding area. These houses will be located next to the animal shelter, featuring 15-foot telescopic poles, allowing for an easy clean and checkup on all the wildlife.

Each house and pole combination is approximately $300. Additional expenses include concrete and squirrel guards for each house. If there is any money left over, we may be able to add a bat house to one of the poles. Otherwise, any extra donations will be transferred to the animal shelter.",1485.0,2000.0,84.0,https://images.gofundme.com/AYB_Np_cZdi_p7vgwN1WgkLaZ6c=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92588763_1752199691373330_r.png,https://www.gofundme.com/f/support-logan-johnsons-eagle-scout-project?qid=44fddf1546ad54ab55343e8b2894382c,"Eagle Scout, Scout, Badge, Uniform, Award, Government agency, Boy Scouts of America, Flag, Non-commissioned officer",1
Willow the Golden Retriever Paints for Animal Shelters,"My dog Willow has started a nightly routine of painting pictures! With all of them piling up, we didn't know what to do with all of them! So, we decided we are selling her paintings for only $10 and donating all the proceeds to local shelters in the form of food and other needs they have! If you are interested in buying a custom piece, you can find Willow on instagram and TikTok @WillowPaintsforPaws, where our email to order is listed! Thank you for taking the time to read this and potentially help us give back!! If you are unable to buy a painting or simply just want to donate, you can do so with this page! Please share to help us help other animals :)",65.0,2500.0,201.0,https://images.gofundme.com/2781XFfVC937ciAf93AT9sGqRV0=/1200x900/https://d2g8igdw686xgo.cloudfront.net/89592827_1742047977462385_r.png,https://www.gofundme.com/f/willow-the-golden-retriever-paints-for-animal-shelters?qid=43b6eefde238ba0f0965bb1291951d6c,"Dog, Carnivores, Snout, Canidae, Handwriting, Working animal, Paw, Pet Supply",0
Help Us Give Stray Dogs in Moalboal a Second Chance at Life,"Moalboal Animal Welfare Corp. is a small but dedicated dog shelter based in Moalboal, Cebu, Philippines. Their mission is to be a voice for those who can’t speak for themselves—rescuing, rehabilitating, and caring for the many stray and abandoned animals in the area.

The shelter is run by Ala and Lyndon, a compassionate Filipino couple raising their young family while managing two animal shelters that care for over 90 dogs and cats. Their daily work is an inspiring act of love and service, but they urgently need our help to continue.

Currently, the shelter is struggling with rising veterinary costs, limited funds, and the need for improved facilities. Many of the dogs they rescue arrive malnourished, injured, or suffering from preventable diseases. Your donation will go directly toward vaccinations, spaying/neutering, emergency surgeries, shelter maintenance, and daily food supplies. Even the smallest contribution makes a difference—every peso brings them closer to saving another life.",1749.0,2000.0,80.0,https://images.gofundme.com/iy9DDN7sJgwRrlFcpVulqh6Jn8I=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92675469_1752757509131728_r.png,https://www.gofundme.com/f/help-us-give-stray-dogs-in-moalboal-a-second-chance-at-life?qid=a3d3014d3624c7c20bb3187cd0a7e5a2,"Dog, Carnivores, Smile, Leisure, Canidae, Happiness, Toy dog, Vacation, Puppy, Child",1
Raise Money for a Local Animal Shelter For Valerie,"Hello,
i’m fundraising for Bolton Destitute Animal Shelter in honour of my Grandma Valerie. Valerie recently battled with liver cancer and although she gave a good fight she unfortunately passed away on the 21st of July. She cared for animals her whole life, from feeding the pigeons in her backyard for years, advocating to preserve the wildlife in horwich, lending a helping hand to every animal she can from bugs to deer to cats and dogs and rescuing and taking care of her own pets and animals including her 18 year old cat Leo who’s “the most well taken care of cat” the vet has seen and is still with us today. She would’ve loved to be able to give back to animals in need one last time and would love to support her community with that. We are asking for donations to our local animal shelter in Bolton in her honour. The destitute animal shelter have always gone above and beyond for the animals that need their help. They’ve provided homes for so many cats and dogs that need love and cared for them in any circumstance. They would benefit greatly from your help and it would be amazing to see my grandmas story motivate people to help. Anything will help and we appreciate it so much.",465.0,625.0,66.0,https://images.gofundme.com/1VH_Eo7SmWfiKzWHN4JYIJ-7SzQ=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93134943_1753738003636020_r.png,https://www.gofundme.com/f/raise-money-for-a-local-animal-shelter-for-valerie?qid=7043aa8d406d10bc6b86365fab710493,"Dog, Collage, Pet Supply, Working animal, Canidae, Toy dog, Dog Supply, Kennel, Puppy, Screenshot",0
Support New Gates for Senatobia Animal Shelter,"Please help us.
My wife and I are volunteers at the Senatobia Tate County Animal Shelter. We have a deep love for these animals and try to help anyway we can. We are in desperate need of new gates on all of our kennels. Over the years, they have rusted out at the bottom. These gates have sharp edges on the bottom that have injured a couple of dogs that have tried to squeeze out under them.

This is a 40 bed shelter in rural northern Mississippi. The city and the county support the shelter, and they pay for food and half of spay and neuters, but they don't put a lot more than that into the upkeep of the building. This little shelter prides itself on ensuring that every single animal that leaves the shelter is spay or neutered before being adopted so that it doesn't add to the over population problem in the area. Volunteers fund raise for that and to improve the shelter any way they can. ",3005.0,4500.0,51.0,https://images.gofundme.com/htGV0SVU5_ZlTNT0pa2QdTWY_Pg=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93592217_1755031756183926_r.png,https://www.gofundme.com/f/support-new-gates-for-senatobia-animal-shelter?qid=7043aa8d406d10bc6b86365fab710493,"Dog, Mesh, Animal shelter, Pet Supply, Cage, Carnivores, Snout, Wire Fencing, Fence, Kennel",1
Help Us Protect the Voiceless – Support Our Animal Shelter M,"Every day, countless innocent animals are left abandoned, hungry, scared, and forgotten. Some have never known love; others once had a home, only to be tossed aside. But there’s one thing they all share—a silent hope for safety, kindness, and a second chance.

We’re building that second chance.

Our mission is simple yet urgent: to rescue, shelter, and protect the voiceless. We provide food, medical care, warm beds, and most importantly—love—to animals who have been failed by the world. But we can’t do this alone.",,,141.0,https://images.gofundme.com/TC5JdW7Vjfk8t3f5_s_NCeOueM0=/1200x900/https://d2g8igdw686xgo.cloudfront.net/91060273_174722238117493_r.png,https://www.gofundme.com/f/help-us-protect-the-voiceless-support-our-animal-shelter-m?qid=c2e790a0025e3c756508668b81bf49a7,"Dog, Carnivores, Vertebrate, Cat, Snout, Felidae, Photo caption, Puppy, Felinae, Whiskers",0
Help the Beaverhead Animal Shelter,"Please help the Beaverhead Animal Shelter fight an alleged discrimination lawsuit!!

The Beaverhead Animal Shelter is being sued for an alleged discrimination. This lawsuit is a financial threat to the shelter and without help the shelter may have to close and the animals will have to find a place to go. Maybe somewhere that isn’t a no-kill shelter, somewhere they are not safe to find second chances they deserve. Please help us save the shelter. If you want to know more about this alleged discrimination and the lawsuit please call Susie at the shelter [phone redacted] or go visit her there. The shelter is located at 80 Lagoon Lane Dillon MT.

If anyone out there knows Susie you know that she is one of the least discriminatory people. She does not judge people on their race, gender, or whom they love. She cares about the animals, if they are taken care of and finding them the best homes. She cares about people and her employees as well. She has given money out of her own personal accounts to employees to help them with their bills and most of the time has never seen a dime back. She helps the public with free or low cost spay/neuter clinics, helping with vet care when they can’t afford it and she has given her friendship to these people.

Please don’t let this lawsuit be the end of an amazing shelter. Again if you have any questions call or visit Susie. And please donate.",1875.0,20000.0,3040.0,https://images.gofundme.com/29-XcMaeFPuN4ZdhopXkeuSqUWk=/1200x900/https://d2g8igdw686xgo.cloudfront.net/20984344_1496770994.7584.jpeg,https://www.gofundme.com/f/help-the-beaverhead-animal-shelter?qid=c8c809e595ee1756937b94b8bd654c62,"Sky, Automotive Exterior, Automotive Parking Light, Car, Automotive lighting, Parking, Automotive Tail & Brake Light, Family car, Automotive Side-View Mirror, Full-size car",1
HOMELESS TO FOUND A HOME!!,"Hello my name is Savannah Jones.

I am a 28yr old mother of six
I am a EMT ⚕️ ( it's a beautiful day to save life's )
I am a ex animal shelter worker but still help animals
I am a huge mental health advocate",415.0,2500.0,65.0,https://images.gofundme.com/HH_8b1kJTmBi7wHY9zviNQtAgC8=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93164135_1758963014458759_r.png,https://www.gofundme.com/f/t7squ4-first-time-home-buyer?qid=db1df4815572813bdc727e97ce0d912e,"Hair, Head, T-shirt, Arm, Hand, Human body, Shirt, Temple, Shorts, Social group",0
Animal Shelter in Need,"I’d like to introduce you to an amazing woman who has dedicated her life to saving abused and abandoned animals in Jarabacoa, Dominican Republic.  In 1995, Jacqueline Isaias’s founded Fundacion Salvavida, a non-profit foundation dedicated to rescuing animals in need. 

For the past 25 years, she has not only rescued hundreds of dogs but she has also taken in cats, horses and even cows. Today Jacqueline has 85 dogs, 20 cats, 3 horses and she has recently taken in 7 puppies to be adopted. 

I had the honor of meeting Jacqueline during my time living in the DR.  She is one of the most passionate, caring, selfless people I have ever met. She is hard working and hands on with all the animals she rescues.   Jacqueline’s property is located in the mountains of Jarabacoa. It can be described as an animal sanctuary that is approximately 4 acres of land, surrounded by fence and coconut trees, where the animals can roam freely. She has  even set-up automatic drinking water for the animals.

 Over the years, Jacqueline has rarely received donations of any kind.  As you could imagine the cost of running such a special place adds up very quickly.  Until recently Jacqueline has managed to keep the sanctuary going with her own money.  Her passion and dedication to saving the lives of these innocent animals has depleted nearly all of her resources.  Unfortunately, the situation has become critical and without your generosity and donations she is at risk of losing everything.

100% of the money donated will go directly to Jacqueline’s foundation to help cover the cost of shelter, food, and veterinary bills. 

If you are a dog lover, or just simply an animal lover we are asking you to please help in any way you can.  No amount is too small.

If you would like to meet the dogs and see some of the amazing work Jacqueline does please click on the video.

Thank you",1630.0,5000.0,3100.0,https://images.gofundme.com/ewq1LotBg9JK4aKX4_XLd6xMu4E=/720x405/https://i.ytimg.com/vi/zSZh-ow8WTo/0.jpg,https://www.gofundme.com/f/28pmxn-animal-shelter-in-need?qid=c8c809e595ee1756937b94b8bd654c62,"Dog, Carnivores, Canidae, Toy dog, Pet Supply, Puppy, Working animal, Fur, Paw, Foot",1
Support Our Home Sanctuary for 70 Plus Dogs & Cats,"Since 2015, we have been rescuing and caring for animals in Karachi. Today, more than 70 dogs and cats live with us in our home-based sanctuary. Our journey began when we realized we could not have children of our own — these rescued souls became our babies, our family, and our responsibility.

Every single day, we struggle to provide them with proper food, medical treatment, and a safe environment. Many of them were abandoned, injured, or left to die on the streets. For them, our home is the only chance at survival and love.

But with so many animals depending on us, the challenges have grown beyond our personal capacity. Food shortages, rising medical costs, and emergency treatments are becoming impossible to manage alone.",5.0,1000.0,34.0,https://images.gofundme.com/7sQqNeJOAVTjcXg9wW-riOVkj60=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94117685_175685427676444_r.png,https://www.gofundme.com/f/3hamd-donate-to-save-lives-at-our-animal-shelter?qid=89f3e1bb4bfa911b551bc32aee2292c7,"TEXT: ARF
HEAVEN FOR ANIMALS",0
Geek Freaks Fundraiser for the Elk Grove Animal Shelter,"Hi everyone! We’re Geek Freaks, a passionate community of geeks and pet lovers on a mission to make a difference for our local animals in need. This year, we’re joining forces with the Friends of the Elk Grove Animal Shelter for our Pet Pantry Fundraiser, running through December 31, 2024.

About Us
Geek Freaks is all about bringing together fans of pop culture, games, comics, and tech, while also finding ways to give back to our community. We know that true heroes are the ones helping animals in need, and that’s why we’re excited to launch this pet food drive fundraiser!",150.0,1000.0,331.0,https://images.gofundme.com/ZPwTucgsZfyy99qeZg9_RWk_urU=/1200x900/https://d2g8igdw686xgo.cloudfront.net/83894865_1730839949984634_r.jpeg,https://www.gofundme.com/f/geek-freaks-fundraiser-for-the-elk-grove-animal-shelter?qid=43b6eefde238ba0f0965bb1291951d6c,"Advertising, Logo, Poster, Pet Supply, Banner, Canidae, Graphic design",0
Reddick Holiday Party Animal Shelter Fundraiser,"In addition to joining us for our annual holiday gathering, we hope you will join us in supporting the Tallahassee Animal Shelter Foundation.

The Animal Shelter Foundation's mission is to make a positive difference in the lives of homeless animals by educating the community, encouraging responsible pet ownership and providing veterinary care and other resources to support the animals in the Tallahassee Animal Shelter.",1930.0,1000.0,1047.0,https://images.gofundme.com/wOFwaQjR_MRnDa6ocf7heTimiRU=/1200x900/https://d2g8igdw686xgo.cloudfront.net/69455207_1668986375768140_r.jpeg,https://www.gofundme.com/f/jqbqh?qid=54a80c3c35ee527d2dd231684a3b567b,"Advertising, Poster, Kennel club",1
Help for Balkanabat Dog Haven,"My name is Dmitry, I live in Balkanabat, Turkmenistan. I am writing to you on behalf of a small group of people who care deeply about the fate of stray dogs in our country.
Recently, my dog-friend Govnaryk was almost killed during a cruel capture operation. In Turkmenistan, there are no official animal shelters or humane catching services. Stray dogs are often poisoned or killed publicly.
Right now, in Balkanabat, a small group of people try run a private shelter that survives only on the support of kind people. They care for about 50 dogs on a small plot of land without water supply or gas. Water is delivered by trucks, food is cooked on open fire, and medical help is almost unavailable – the nearest proper vet clinic is in Ashgabat (over 400 km away). Spaying/neutering costs about 50 USD per dog, not including travel expenses.",174.0,13000.0,7.0,https://images.gofundme.com/ca0ib-jbVfhNWaslYLyUtoKBS4w=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94999585_1758774307839505_r.png,https://www.gofundme.com/f/help-for-balkanabat-dog-haven?qid=b7bb97e73049109cac4a80eaef1ddecc,"Dog, Carnivores, Street dog, Snout, Working animal, Canidae, Paw, Ancient dog breeds, Rare dog breed",0
Underprivileged Animal Shelter in Arraijan,,780.0,2600.0,193.0,https://images.gofundme.com/D-x-WnQFHzsksjp3QLSRtXFxkCU=/1200x900/https://d2g8igdw686xgo.cloudfront.net/89801131_1752541364705401_r.jpg,https://www.gofundme.com/f/PAWS-OF-HOPE-help-me-help-them?qid=1270d883a0d75e895e6b31bc1bc4cb8b,"Dog, Veterinary physician, Canidae, Medical, Safety Glove, Working animal, Pet Supply, Collar",0
"Abbas Mvungi & Animal Shelter Flood Disaster,Tanzania","Hi,My name is Abbas Mvungi,founder of Karibu Animal Trail shelter in Karatu,Tanzania. I am writing this in a middle of flood zone,our Animal shelter is submerging and I have more than 30 animals with me.I need your help to relocate our animals quickly as water keeps coming.
Regards
Abbas",14441.0,69000.0,532.0,https://images.gofundme.com/oofbIxH75Yyd_d0z0CUf6hNI3v0=/1200x900/https://d2g8igdw686xgo.cloudfront.net/79583029_1713428308782864_r.jpeg,https://www.gofundme.com/f/abbas-mvungi-animal-shelter-flood-disastertanzania?qid=c8c809e595ee1756937b94b8bd654c62,"Livestock, Ovis, Sheep, Goats, Fence",1
Help for Wildlife and Animal shelters in need ❤,"Dear All, after days of an absolute nightmare of raging fires in Estepona which has destroyed and caused an unimaginable damage to our Nature and Animals, I would love to put all of our efforts so together we can restore our beautiful Home . Any raised money will go towards local non profit organizations and animal shelters.❤ thank you for any contribution",73012.8,44100.0,1482.0,https://images.gofundme.com/AlJyGlUriKyNRnnDEHsM2X-2MFc=/1200x900/https://d2g8igdw686xgo.cloudfront.net/59892769_1631385962574915_r.jpeg,https://www.gofundme.com/f/help-to-restore-natural-habitat-of-estepona?qid=8dbb1d69a9c640018f0c886ef3ef1c83,"Mountain, geological phenomenon, Wilderness, Plant community, Terrain, Geology, Chaparral, Bedrock, Shrubland, Fell",1
A Birthday Wish - Help the Vulnerable Animals of Gweru SPCA,"Instead of receiving any materialistic gifts for my birthday, I'm asking my friends and family to join me in supporting a cause that has completely captured my heart ❤️and soul: The SPCA animal shelter in Gweru, Zimbabwe During my recent Conservation and Community volunteering trip to Gweru, I spent time at the shelter. It's a lifeline for over 20 dogs, cats, donkeys, and goats, but with the current economic hardship and inflation in Zimbabwe, this amazing organization is struggling to keep up. These animals are vulnerable and desperately need our help. They don't just need food; they need essentials like clean blankets, medications, new bowls, and toys. If you are looking for a way to celebrate with me, please consider a donation, whatever you can spare, to help keep these innocent animals safe, warm, and fed.
Please also share this post to spread the word! Thank you so much for all your support and kindness!",283.75,1000.0,3.0,https://images.gofundme.com/1Re3R-cVcs-GmIPgA6m7GgfTtKY=/1200x900/https://d2g8igdw686xgo.cloudfront.net/95129803_1759666896555224_r.png,https://www.gofundme.com/f/a-birthday-wish-help-the-vulnerable-animals-of-gweru-spca?qid=a3d3014d3624c7c20bb3187cd0a7e5a2,"Dog, Carnivores, Canidae, Street dog, Working animal, Snout, Sleeveless shirt, Foot, Pet Supply",0
Support Sean Fleming After Devastating Fire,"On Wednesday, August 13, 2025, our dad, Sean Fleming, experienced a life altering tragedy: a fire broke out in his home, resulting in the catastrophic loss of nearly everything he owned.

But the most painful part the truly unimaginable was the loss of our dad’s six beloved pets.

Our entire family is grieving. These animals were not just pets they were family. The dogs spent part of their time at their second home with our mom, Darlene Fleming running through the yard, playing fetch and wrestling her dog Bailey. There was never a dull moment with a house full of chaos, joy and most of all, love.",7044.0,8000.0,46.0,https://images.gofundme.com/Z1J2uvcvtqIr82quynhGIWgDIqU=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93725677_1755429186859029_r.png,https://www.gofundme.com/f/support-sean-fleming-after-devastating-fire?qid=05451dc5b43081aeb17b15534d4b4c3f,"Dog, Carnivores, Smile, Canidae, Herding dog, Working animal, Fur, Australian Shepherd, Border Collie, Australian Collie",1
Moose FIGHT cancer,"Hi, my name's moose. I’m six years old.
im not doing the best lately.
I'm raising money to help cover the cost of my veterinary bills.
Moose is a 6-year-old Sharpei who originally came from Reno, Nevada. He was rescued from the animal shelter by Ryan and Melanie and given another opportunity at life.
Mel had spent hours which turned into weeks and that turned into months trying to get moose back from the shelter.
they gave us so many issues.

Moose had some pretty severe behavioral issues and couldn't be around anyone who's not considered family. He loved us and we loved him, and it didn't matter if he didn't like anyone else.",2378.0,4500.0,9.0,https://images.gofundme.com/2Ge4mKBTSGLSdx3oyREe_PSc6Bk=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94949143_1758673409267003_r.png,https://www.gofundme.com/f/moose-fight-cancer?qid=05451dc5b43081aeb17b15534d4b4c3f,"Dog, Pet Supply, Snout, Carnivores, Dog Supply, Collar, Dog collar, Working animal, Dog Clothes, Canidae",1
Pineville Animal Shelter,"We understand... it's frowned upon to adopt 20 animals all at once no matter how much you want to do it. But this is a way you can help 20 (OR EVEN MORE!) animals all at once! ALL monetary donations will go toward providing a better life for Pineville Animal Shelter's animals by funding medical supplies, treatments, more space, better facilities, and perhaps some special adoption days!

Right now, the shelter is barely funded. But with your help, we can change that and, in turn, change the lives of the animals counting on us as a community. The end goal of this gofundme is to create a self-sufficient shelter with a proper foster program and to eliminate the need to euthanize at a high rate.

And remember, if you can't donate monetarily, the shelter is always accepting pet supplies, towels, cages and toys. Every gift is a blessing. And for that, Pineville Animal Shelter thanks you.

Then while you're at it, take a look at the adorable faces of the angels you're helping to save!",1615.0,3000.0,2920.0,https://images.gofundme.com/gnqBH1_aU-zFLBCqhaM-l5pH8UA=/1200x900/https://d2g8igdw686xgo.cloudfront.net/24424958_1507169736.2468.jpg,https://www.gofundme.com/f/pineville-animal-shelter?qid=c8c809e595ee1756937b94b8bd654c62,"White, Paw",1
"Support the Family of Jaymes ""Rocco"" Holding","Rocco meant so much in the Sacramento restaurant community.

Where do we even begin? From his love of duct tape - which he believed could fix anything - to his overwhelming kindness to all knew no limits. We don't know where to even begin.

So, lets begin with helping Rocco's family financially during this difficult time.

All proceeds will go to any end of life costs for Rocco's family. All remaining funds will be donated to the Front Street Animal Shelter in Rocco's name, because he loved his cats so much.",5625.0,6500.0,17.0,https://images.gofundme.com/KZSqeoBWMS432H7CrHCY4wQXaqs=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94683821_1757984140413826_r.png,https://www.gofundme.com/f/support-the-family-of-jaymes-rocco-holding?qid=b7bb97e73049109cac4a80eaef1ddecc,"Facial hair, Chin, Cheek, Eyebrow, Hat, Face, Nose, Beard, Jaw, Mouth",1
Support Enid SPCA: Every Dollar Counts,"Hi, I'm Alexa, and I'm raising funds for Annie Mae, my foster dog, from the Enid SPCA. After her owner passed away, she was neglected and ended up on the streets and then back at the animal shelter. She now needs a double knee surgery so she can jump and play without any pain. She is currently 3 years old and has so much life ahead of her and I want to make it as lovely as possible. Please help me raise money for her surgery as the SPCA is donation funded only and needs all the help they can get!",385.0,900.0,69.0,https://images.gofundme.com/3-azKXc8_arHVX7nXDmBU62-EMg=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93053633_1753659440859754_r.png,https://www.gofundme.com/f/support-enid-spca-every-dollar-counts?qid=db1df4815572813bdc727e97ce0d912e,"Dog, Smile, Happiness, Facial expression, Carnivores, Vacation, Fun, Canidae, Sunglasses, Blond",0
Beds for Shelter Dogs in King County,"Animal shelters are meant for short stays, not weeks or months. We are in an animal crisis with many more dogs needing homes than homes available. You can help make a shelter stay for a dog a little more comfortable by helping to purchase elevated dog beds to benefit Regional Animal Services of King County (RASKC)!

Thanks to generous gifts from people like you, we were able to provide 18 beds for the shelter last year, and 13 the year before! The preferred dog bed at RASKC is a Kuranda, which is elevated and chew-proof. Beds are approximately $145-165 each depending on size, but deeper discounts are available for bulk purchases. RASKC staff has asked for beds in two different sizes. Your gift of $25, $50 or more will help us get as many beds as we can for the best price!",1400.0,3500.0,25.0,https://images.gofundme.com/OnOh7s1fdkZNGqfhjVEzRZKIJmY=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94122875_1756502392415185_r.png,https://www.gofundme.com/f/nsthz-beds-for-shelter-dogs-in-king-county?qid=3e05da99384bba523046eac5ff850c53,"Dog, Vertebrate, Carnivores, Snout, Whiskers, Tongue, Working animal, Close-up, Collar, Terrestrial animal",1
"Farm,animal shelters destroyed due to wild fires","Hi my name is Sharron, I run a dog rescue in the Algarve. This morning I woke to find the devastating news that our friend has lost everything in central Portugal due to a Forrest fire. Some of her animals had to be let loose and haven't been found yet.
One dog was let loose and has been found alive but has burns. Several dogs were rescued and are safe.

Our friend,s Chloe and Toni,s farm was engulfed with flames, during the night of 28th. They have lost all the animal enclosure,s and fencing. Luckily the house is still standing but has damage.
Been so far away from them, we wanted to help so with their permission we have started this go fund me page to try and raise enough money to replace what has been lost.
Chloe does so much for the animals of Portugal, she has taken in several dogs that have been dumped,and nursed them back to health, as well as farm animals.

Please help us to help Chloe and Toni replace what they have lost.",10570.35,10500.0,65.0,https://images.gofundme.com/fh1CQt3_4dfaJdFo5nhvGZqF8gU=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93147783_1753773500607739_r.png,https://www.gofundme.com/f/help-needed-to-replace-housing-and-fencing?qid=7043aa8d406d10bc6b86365fab710493,"geological phenomenon, Rubble, Village",1
Donate to Quincy Animal Shelter for My 50th Birthday,"On Saturday, 2/15, I will be turning 50 years old (!), and in honor of this incredibly bizarre occurrence, I am humbly asking for donations for Quincy Animal Shelter, a wonderful organization where I have volunteered for over 10 years.

Any amount helps, and I will be more than grateful for any contributions! I started a fundraiser on Facebook, but it looks like they changed their formatting and it was a little bit difficult, which is why I've switched over to GoFundMe. I sincerely thank those who've donated through Facebook, but I'm now asking that going forward, you please donate through GoFundMe.

Thank you!!",2130.0,5000.0,258.0,https://images.gofundme.com/adfpyjVFXYZjvJOewhb-w-SBSGc=/1200x900/https://d2g8igdw686xgo.cloudfront.net/85746611_1737734205744748_r.jpeg,https://www.gofundme.com/f/donate-to-quincy-animal-shelter-for-my-50th-birthday?qid=54a80c3c35ee527d2dd231684a3b567b,"Cat, Vertebrate, Felinae, Whiskers, Felidae, Carnivores, Fur, Snout, Kitten, Terrestrial animal",1
Help support Michelle Caron's Recovery,"Hi Everyone,

I am doing this GoFundMe on behalf of Michelle Caron. As most of us know, Michelle has dealt with diabetes for the majority of her life. She was fortunate to get a transplant years ago, and up until the past several years, she was going about her day-to-day life like most of us. However, several years ago, she had to get put on the transplant list again for a new kidney and has had to go to dialysis several times a week for several hours a day. Through all this, she continued to volunteer at the local animal shelter as well as get her degree in Business Administration. She didn't let her health stop her from doing things she wanted to do.",2360.0,12000.0,19.0,https://images.gofundme.com/KRz_NMrIrDLfRgwKw-d67O34hqY=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94606721_1757778318899860_r.png,https://www.gofundme.com/f/support-michelle-carons-kidney-transplant-recovery?qid=b7bb97e73049109cac4a80eaef1ddecc,"Dog, Smile, Facial expression, Happiness, Tooth, Carnivores, Toy dog, Comfort, Puppy, Blond",1
Puppy Flight Sponsors Needed,"Hello, my name is Ashley, and I'm raising funds to transport stray and unwanted dogs and puppies from Nunavut to rescues and shelters in British Columbia and Newfoundland so they can find their forever homes.
All communities in Nunavut are fly-in only, and very few have animal shelters or even steady access to veterinary care. As a result, many communities have high numbers of stray dogs and unwanted litters. The unfortunate consequence of this is that many of these dogs, and even puppies, end up being euthanized.
For the past two years, since I moved to Nunavut, I have been working to save as many of these dogs as I can, sending them to rescues in Manitoba. I have taken in seventeen puppies and one adult dog so far this summer, and I will be taking in another litter of four puppies in the coming weeks once they are weaned. Now, due to the recent wildfires, all the rescues in Manitoba are full, creating another obstacle to give these dogs their second chance.",4200.0,4200.0,71.0,https://images.gofundme.com/iKVz79U1_US68lU4yA3UJt8OhJI=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92975535_1753281906602602_r.png,https://www.gofundme.com/f/puppy-flight-sponsors-needed?qid=44fddf1546ad54ab55343e8b2894382c,"Dog, Puppy, Carnivores, Vertebrate, Snout, Working animal, Toy dog, Canidae, Fur, Whiskers",1
